1,37.797694444444446,-122.40886111111111,Chinese Foo Dogs,,
2,37.79319444444444,-122.40702777777778,Dr. Sun Yat-sen,,
3,37.79730555555555,-122.41308333333333,Dragon Relief,,
4,37.79655555555555,-122.40613888888889,Goddess of Democracy,,
5,37.792944444444444,-122.40691666666667,Guardian,,
6,37.80983333333333,-122.41080555555556,Guardians of the Gate,,
7,37.79416666666666,-122.39416666666668,International Longshoreman's and Warehousemen's Union Memorial,,
8,37.80825,-122.40847222222223,Skygate,,
9,37.79538888888889,-122.4008888888889,Bronze Sculpture,,
10,37.794444444444444,-122.39944444444446,Dyonisos,,
11,37.794444444444444,-122.39944444444446,Hermes,,
12,37.79775,-122.39880555555557,Horse,,
13,37.79716666666666,-122.40400000000001,Puddle Jumpers,,
14,37.79461111111111,-122.40530555555557,Transcendence,,
15,37.797666666666665,-122.39991666666667,Two Open Rectangles Eccentric Variation VII Triangle Section,,
16,37.79733333333333,-122.40225,Untitled,,
17,37.80752777777778,-122.42252777777777,Andrea,,
18,37.80938888888889,-122.41533333333334,Saint Francis de la Varenne,,
19,37.750083333333336,-122.45788888888889,Florence Nightingale,,
20,37.77088888888889,-122.4678888888889,Beethoven,,
21,37.77183333333333,-122.51183333333333,Roald Amundsen,,
22,37.77605555555556,-122.45758333333335,Horse,,
23,37.772888888888886,-122.46775000000001,Thomas Starr King,,
24,37.77258333333333,-122.472,Thomas Garrigue Masaryk,,
25,37.77216666666667,-122.4698611111111,Roman Gladiator,,
26,37.779583333333335,-122.42044444444444,Balanced-Unbalanced: Balanced-Unbalanced T,,
27,37.7785,-122.42044444444444,Large Four Piece Reclining Figure,,
28,37.76513888888889,-122.46172222222222,Bear,,
29,37.76461111111111,-122.45908333333334,Bear and Cubs,,
30,37.72836111111111,-122.49361111111111,Captain Juan Bautista de Anza,,
31,37.713861111111115,-122.48616666666668,Penguin's Prayer,,
32,37.78502777777778,-122.50047222222223,The Thinker,,
33,37.76547222222222,-122.42694444444444,Father Junipero Serra,,
34,37.79194444444444,-122.41305555555556,Doors of Paradise,,
35,37.805583333333324,-122.40730555555557,Guglielmo Marconi Memorial Plaque,,
36,37.715250000000005,-122.47641666666668,Peace,,
37,37.787166666666664,-122.39283333333334,Andrew Furuseth,,
38,37.78691666666666,-122.39430555555556,Harry Lundeberg (1901-1957),,
39,37.794,-122.39519444444446,Tau,,
40,37.786138888888885,-122.41191666666667,"Redding School, Self-Portrait",,
41,37.76416666666667,-122.42666666666668,Mission Dolores,,
42,37.79277777777778,-122.40583333333333,Old Saint Mary's Cathedral,,
43,37.79333333333333,-122.40166666666667,Bank of California Building,,
44,37.785555555555554,-122.40361111111112,Saint Patrick's Church,,
45,37.79888888888889,-122.40777777777778,Saint Francis of Assisi Church,,
46,37.79333333333333,-122.39250000000001,Audiffred Building,,
47,37.73527777777778,-122.39,South San Francisco Opera House,,
48,37.79611111111111,-122.40333333333334,Belli Building (Langerman's Building),,
49,37.79611111111111,-122.40333333333334,Genella Building,,
50,37.796388888888885,-122.40277777777779,Hotaling Building,,
51,37.797777777777775,-122.42750000000001,Colonial Dames Octagon House,,
52,37.788333333333334,-122.40194444444445,Palace Hotel and Garden Court Room,,
53,37.77916666666667,-122.41916666666667,San Francisco City Hall,,
54,37.796388888888885,-122.40305555555557,Solari Building (Old French Consulate),,
55,37.778055555555554,-122.43083333333334,Old Holy Virgin Russian Orthodox Cathedral,,
56,37.80583333333333,-122.42166666666667,Ghirardelli Square,,
57,37.772777777777776,-122.43805555555556,Abner Phelps House,,
58,37.796388888888885,-122.405,Columbus Tower (Sentinel Building),,
59,37.782777777777774,-122.40716666666667,Original United States Mint and Subtreasury,,
60,37.79833333333333,-122.41666666666667,Feusier Octagon House,,
61,37.79,-122.40305555555557,Hallidie Building,,
62,37.79472222222222,-122.4113888888889,Cable Car Barn and Power House,,
63,37.77166666666667,-122.42722222222223,Nightingale House,,
64,37.7725,-122.46027777777778,Conservatory of Flowers,,
65,37.80694444444444,-122.42,Haslett Warehouse,,
66,37.772777777777776,-122.43833333333333,Mish House,,
67,37.79194444444444,-122.4113888888889,Flood Mansion (Pacific Union Club),,
68,37.79333333333333,-122.42472222222223,Haas-Lilienthal House,,
69,37.785555555555554,-122.42222222222223,Goodman Building,,
70,37.78777777777778,-122.40333333333334,Lotta's Fountain,,
71,37.79333333333333,-122.42944444444444,California Historical Society (Whittier Mansion),,
72,37.79111111111111,-122.40166666666667,Mills Building and Tower,,
73,37.75972222222222,-122.43944444444445,Alfred E. Clarke Mansion,,
74,37.786944444444444,-122.41027777777778,Geary Theater,,
75,37.78666666666666,-122.45861111111111,St. John's Presbyterian Church,,
76,37.80333333333333,-122.41722222222222,San Francisco Art Institute,,
77,37.78611111111111,-122.40361111111112,Jessie Street Substation,,
78,37.80277777777778,-122.44833333333334,Palace of Fine Arts,,
79,37.79083333333333,-122.405,"Old Firehouse, Engine Company No. 2 and Truck No. 6",,
80,37.79527777777778,-122.39361111111111,Ferry Building,,
81,37.79944444444444,-122.40027777777779,Gibb-Sanborn Warehouse (Trinidad Bean and Elevator Company),,
82,37.77916666666667,-122.41472222222222,Orpheum Theatre,,
83,37.788888888888884,-122.45583333333333,Koshland House,,
84,37.77055555555555,-122.4675,Francis Scott Key Monument,,
85,37.761944444444445,-122.435,Castro Theatre,,
177,37.79,-122.42722222222223,Atherton House,,
86,37.79277777777778,-122.43472222222222,Calvary Presbyterian Church (Sanctuary),,
87,37.780277777777776,-122.43194444444445,Market Street Railway Substation,,
